date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:21%20GMT	http://themes.dhrubok.website/robots.txt		(from )
00:32:20	89253/89253	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202019%2006:36:26%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/index.html	(from )
00:32:21	26917/26917	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2006:08:50%20GMT	http://themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/70dqosjz/vs6k.css	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/70dqosjz/vs6k.css	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:25	369907/369907	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2006:08:50%20GMT	http://themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/f1lni7g7/vs6k.css	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/f1lni7g7/vs6k.css	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:29	415950/415950	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202019%2006:36:26%20GMT	http://themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/edj7ewjd/w3di.css	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/edj7ewjd/w3di.css	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:29	1691/1691	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2002:06:55%20GMT	http://themes.dhrubok.website/xpider/wp-content/uploads/2019/03/cropped-favicon-32x32.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/uploads/2019/03/cropped-favicon-32x32.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:32	23520/23520	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2002:06:53%20GMT	http://themes.dhrubok.website/xpider/wp-content/uploads/2019/03/cropped-favicon-192x192.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/uploads/2019/03/cropped-favicon-192x192.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:33	21544/21544	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2002:06:55%20GMT	http://themes.dhrubok.website/xpider/wp-content/uploads/2019/03/cropped-favicon-180x180.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/uploads/2019/03/cropped-favicon-180x180.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:36	107131/107131	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Sep%202019%2006:08:50%20GMT	http://themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/12epyixg/vs6k.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/cache/wpfc-minified/12epyixg/vs6k.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:36	13285/13285	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:18%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/03/brand-logo-color.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/03/brand-logo-color0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
